YEAR,NAME,VARIABLE,VALUE
2021,Morrow,BIRTHS,389.0
2022,Morrow,BIRTHS,365.0
2023,Morrow,BIRTHS,414.0
2010,Perry,BIRTHS,444.0
2011,Perry,BIRTHS,438.0
2012,Perry,BIRTHS,391.0
2013,Perry,BIRTHS,458.0
2014,Perry,BIRTHS,431.0
2015,Perry,BIRTHS,444.0
2016,Perry,BIRTHS,410.0
2017,Perry,BIRTHS,420.0
2018,Perry,BIRTHS,408.0
2019,Perry,BIRTHS,416.0
2020,Perry,BIRTHS,416.0
2021,Perry,BIRTHS,375.0
2022,Perry,BIRTHS,381.0
2023,Perry,BIRTHS,413.0
2010,Pickaway,BIRTHS,632.0
2011,Pickaway,BIRTHS,553.0
2012,Pickaway,BIRTHS,627.0
2013,Pickaway,BIRTHS,593.0
2014,Pickaway,BIRTHS,616.0
2015,Pickaway,BIRTHS,629.0
2016,Pickaway,BIRTHS,604.0
2017,Pickaway,BIRTHS,580.0
2018,Pickaway,BIRTHS,637.0
2019,Pickaway,BIRTHS,587.0
2020,Pickaway,BIRTHS,633.0
2021,Pickaway,BIRTHS,622.0
2022,Pickaway,BIRTHS,631.0
2023,Pickaway,BIRTHS,629.0
2010,Ross,BIRTHS,799.0
2011,Ross,BIRTHS,861.0
2012,Ross,BIRTHS,829.0
2013,Ross,BIRTHS,827.0
2014,Ross,BIRTHS,898.0
2015,Ross,BIRTHS,847.0
2016,Ross,BIRTHS,834.0
2017,Ross,BIRTHS,862.0
2018,Ross,BIRTHS,849.0
2019,Ross,BIRTHS,786.0
2020,Ross,BIRTHS,745.0
2021,Ross,BIRTHS,833.0
2022,Ross,BIRTHS,708.0
2023,Ross,BIRTHS,709.0
2010,Union,BIRTHS,598.0
2011,Union,BIRTHS,608.0
2012,Union,BIRTHS,584.0
2013,Union,BIRTHS,603.0
2014,Union,BIRTHS,637.0
2015,Union,BIRTHS,659.0
2016,Union,BIRTHS,667.0
2017,Union,BIRTHS,664.0
2018,Union,BIRTHS,706.0
2019,Union,BIRTHS,709.0
2020,Union,BIRTHS,695.0
2021,Union,BIRTHS,706.0
2022,Union,BIRTHS,723.0
2023,Union,BIRTHS,831.0
2010,15-County Region,DEATHS,16896.0
2011,15-County Region,DEATHS,17067.0
2012,15-County Region,DEATHS,17666.0
2013,15-County Region,DEATHS,17563.0
2014,15-County Region,DEATHS,17974.0
2015,15-County Region,DEATHS,19181.0
2016,15-County Region,DEATHS,19140.0
2017,15-County Region,DEATHS,19999.0
