YEAR,NAME,BIRTHS,DEATHS,NETMIG,POPEST,NATINC,NPOPCHG,RBIRTHS,RDEATHS,RNETMIG,RNATINC,RPOPCHG
2017,Delaware,2120,1165,2722,200870,955,3677,10.554089709762533,5.799770996166675,13.551052919798874,4.754318713595858,18.30537163339473
2018,Delaware,2127,1236,3276,205091,891,4167,10.371006041220726,6.026593073318673,15.973397174912598,4.344412967902053,20.31781014281465
2019,Delaware,2147,1279,3225,209177,868,4093,10.2640347648164,6.114438967955368,15.41756502865994,4.149595796861032,19.567160825520972
2020,Delaware,2014,1475,3528,215166,539,4067,9.360214903841685,6.855172285584154,16.396642592231114,2.5050426182575314,18.901685210488647
2021,Delaware,2201,1525,5672,221282,676,6348,9.946583996890844,6.891658607568623,25.63245089975687,3.0549253893222224,28.687376289079094
2022,Delaware,2176,1528,4599,226526,648,5247,9.60596134660039,6.745362563237774,20.30230525414301,2.860598783362616,23.162904037505626
2023,Delaware,2148,1586,4402,231636,562,4964,9.273169973579236,6.846949524253571,19.003954480305307,2.4262204493256663,21.430174929630972
2010,Fairfield,1642,1124,400,146417,518,918,11.21454475914682,7.676704207844717,2.7319232056386893,3.5378405513021027,6.269763756940792
2011,Fairfield,1678,1134,266,147174,544,810,11.401470368407463,7.705165314525663,1.807384456493674,3.6963050538817996,5.503689510375474
2012,Fairfield,1637,1182,-401,147301,455,54,11.113298619832861,8.024385442054026,-2.7223168885479394,3.088913177778834,0.3665962892308946
2013,Fairfield,1727,1168,959,148796,559,1518,11.606494798247265,7.849673378316622,6.445065727573322,3.7568214199306436,10.201887147503966
2014,Fairfield,1598,1191,1131,150360,407,1538,10.627826549614259,7.920989624900239,7.5219473264165995,2.7068369247140196,10.22878425113062
2015,Fairfield,1749,1316,493,151254,433,926,11.563330556547266,8.700596347865181,3.259417932748886,2.8627342086820846,6.122152141430971
2016,Fairfield,1679,1315,1101,152789,364,1465,10.989010989010989,8.606640530404677,7.20601613990536,2.3823704586063137,9.588386598511674
2017,Fairfield,1821,1397,1561,154686,424,1985,11.772235367130833,9.0311986863711,10.091410987419675,2.7410366807597324,12.832447668179409
2018,Fairfield,1719,1483,919,155982,236,1155,11.020502365657576,9.50750727648062,5.8917054531933175,1.5129950891769564,7.404700542370273
2019,Fairfield,1772,1469,1278,157574,303,1581,11.24551004607359,9.322603982890577,8.110475078375874,1.9229060631830124,10.033381141558886
2020,Fairfield,1642,1684,2080,159448,-42,2038,10.298028197280617,10.561436957503386,13.045005268175204,-0.26340876022276855,12.781596507952436
2021,Fairfield,1729,1818,1793,161209,-89,1704,10.725207649696976,11.277286007605035,11.122207817181422,-0.5520783579080573,10.570129459273366
2022,Fairfield,1743,1697,1922,162956,46,1968,10.696138835022952,10.413854046491078,11.7945948599622,0.28228478853187366,12.076879648494073
2023,Fairfield,1718,1554,2300,165360,164,2464,10.389453313981615,9.397677793904208,13.90904692791485,0.9917755200774068,14.900822447992258
2010,Fayette,340,334,8,29014,6,14,11.71848073343903,11.511684014613635,0.27572895843385953,0.20679671882539463,0.48252567725925416
2011,Fayette,369,357,-157,28867,12,-145,12.782762323760695,12.36706273599612,-5.438736273253196,0.41569958776457544,-5.02303668548862
2012,Fayette,380,343,-133,28767,37,-96,13.209580422011333,11.923384433552334,-4.623353147703966,1.2861959884589982,-3.3371571592449683
2013,Fayette,354,353,-65,28686,1,-64,12.340514536707802,12.30565432615213,-2.265913686118664,0.034860210555671754,-2.2310534755629923
2014,Fayette,326,351,-15,28650,-25,-40,11.37870855148342,12.251308900523561,-0.5235602094240838,-0.8726003490401396,-1.3961605584642234
2015,Fayette,365,372,-23,28611,-7,-30,12.757331096431443,13.001992240746565,-0.803886617035406,-0.24466114431512354,-1.0485477613505294
2016,Fayette,335,364,63,28670,-29,34,11.68468782699686,12.696198116498081,2.197418904778514,-1.0115102895012207,1.1859086152772933
2017,Fayette,304,409,56,28639,-105,-49,10.614895771500402,14.281224903104158,1.9553755368553372,-3.6663291316037574,-1.71095359474842
2018,Fayette,365,352,28,28653,13,41,12.738631207901442,12.284926534743308,0.9772100652636723,0.45370467315813356,1.4309147384218057
2019,Fayette,298,384,-147,28525,-86,-233,10.44697633654689,13.46187554776512,-5.153374233128835,-3.01489921121823,-8.168273444347065
2020,Fayette,338,396,116,28975,-58,58,11.665228645383952,13.66695427092321,4.003451251078515,-2.0017256255392577,2.0017256255392577
